id	name	name_in_spanish	flag	population	exports	government_type	energy_production
624	Guinea-Bissau	Guinea-Bisáu	🇬🇼	2132325	280065000	Junta militar	0.08
626	Timor-Leste	Timor Oriental	🇹🇱	1506909	701808000	República semipresidencialista	0.51
630	Puerto Rico	Puerto Rico	🇵🇷	3019450	59787000000	null	18.72
634	Qatar	Catar	🇶🇦	2552088	128726000000	Monarquía constitucional	58.64
638	Réunion	Reunión	🇷🇪	0	0	null	3.37
642	Romania	Rumanía	🇷🇴	18148155	137337000000	República semipresidencialista	52.72
643	Russian Federation	Rusia	🇷🇺	140820810	465432000000	República semipresidencialista	1209.31
646	Rwanda	Ruanda	🇷🇼	13623302	3509000000	República presidencialista	1.06
652	Saint Barthélemy	San Bartolomé	🇧🇱	7086	0	null	0
654	Saint Helena, Ascension and Tristan da Cunha	Santa Elena	🇸🇭	7943	0	null	0.01
659	Saint Kitts and Nevis	San Cristóbal y Nieves	🇰🇳	55133	577568000	Monarquía constitucional 	0.22
660	Anguilla	Anguila	🇦🇮	19416	7900000	null	0
662	Saint Lucia	Santa Lucía	🇱🇨	168038	1415000000	Monarquía parlamentaria	0.4
663	Saint Martin (French part)	San Martín	🇲🇫	32996	0	null	0
666	Saint Pierre and Miquelon	San Pedro y Miquelón	🇵🇲	5132	0	null	0.05
670	Saint Vincent and the Grenadines	San Vicente y las Granadinas	🇻🇨	100647	347827000	Monarquía constitucional	0.15
674	San Marino	San Marino	🇸🇲	35095	3420000000	República parlamentaria mixta	0
678	Sao Tome and Principe	Santo Tomé y Príncipe	🇸🇹	223561	96977000	República semipresidencialista	0.09
682	Saudi Arabia	Arabia Saudita	🇸🇦	36544431	370974000000	Monarquía absoluta	454.64
686	Senegal	Senegal	🇸🇳	18847519	6780000000	República semipresidencialista	8.05
688	Serbia	Serbia	🇷🇸	6652212	44343000000	República parlamentaria	37.46
690	Seychelles	Seychelles	🇸🇨	98187	2375000000	República presidencialista	0.63
694	Sierra Leone	Sierra Leona	🇸🇱	9121049	1195000000	República presidencialista	0.21
702	Singapore	Singapur	🇸🇬	6028459	873989000000	República parlamentaria	59.61
703	Slovakia	Eslovaquia	🇸🇰	5563649	121238000000	República parlamentaria	29.52
704	Viet Nam	Vietnam	🇻🇳	105758975	374265000000	Unipartidista	303.58
705	Slovenia	Eslovenia	🇸🇮	2097893	57489000000	República parlamentaria	16.71
706	Somalia	Somalia	🇸🇴	13017273	819000000	República parlamentaria	0.42
710	South Africa	Sudáfrica	🇿🇦	60442647	124731000000	República parlamentaria mixta	249.07
716	Zimbabwe	Zimbabue	🇿🇼	17150352	7650000000	República presidencialista	8.31
724	Spain	España	🇪🇸	47280433	615830000000	Monarquía parlamentaria	281.65
728	South Sudan	Sudán del Sur	🇸🇸	12703714	5811000000	República presidencialista	0.59
729	Sudan	Sudán	🇸🇩	50467278	5908000000	Junta militar	16.75
732	Western Sahara	Sahara Occidental	🇪🇭	0	0	null	0.09
740	Suriname	Surinam	🇸🇷	646758	2534000000	República parlamentaria mixta	2.14
744	Svalbard and Jan Mayen	Svalbard y Jan Mayen	🇸🇯	2926	0	null	0
748	Swaziland	Suazilandia	🇸🇿	0	0	Monarquía absoluta	0
752	Sweden	Suecia	🇸🇪	10589835	324073000000	Monarquía parlamentaria	171.99
756	Switzerland	Suiza	🇨🇭	8860574	661628000000	República parlamentaria mixta	75.76
760	Syrian Arab Republic	Siria	🇸🇾	23865423	2224000000	Gobierno provisional	20.08
762	Tajikistan	Tayikistán	🇹🇯	10394063	2105000000	República presidencialista	21.68
764	Thailand	Tailandia	🇹🇭	69920998	336871000000	Monarquía constitucional	199.52
768	Togo	Togo	🇹🇬	8917994	1722000000	República parlamentaria	0.92
772	Tokelau	Tokelau	🇹🇰	1647	103000	null	0
776	Tonga	Tonga	🇹🇴	104889	59926000	Monarquía parlamentaria	0.07
780	Trinidad and Tobago	Trinidad y Tobago	🇹🇹	1408966	17584000000	República parlamentaria	9.5
784	United Arab Emirates	Emiratos Árabes Unidos	🇦🇪	10032213	335238000000	Monarquía constitucional	177.26
788	Tunisia	Túnez	🇹🇳	12048847	17258000000	República semipresidencialista	20.83
792	Turkey	Turquía	🇹🇷	84119531	352514000000	República presidencialista	341.23
795	Turkmenistan	Turkmenistán	🇹🇲	5744151	10282000000	República presidencialista	33.79
796	Turks and Caicos Islands	Islas Turcas y Caicos	🇹🇨	60439	826824000	null	0.26
798	Tuvalu	Tuvalu	🇹🇻	11733	2232000	Monarquía constitucional	0
800	Uganda	Uganda	🇺🇬	49283041	6115000000	República presidencialista	5.75
804	Ukraine	Ucrania	🇺🇦	35661826	51093000000	República semipresidencialista	111.51
807	Macedonia, the former Yugoslav Republic of	Macedonia del Norte	🇲🇰	2135622	10748000000	República parlamentaria	5.8
818	Egypt	Egipto	🇪🇬	111247248	76295000000	República semipresidencialista	237.39
826	United Kingdom	Reino Unido	🇬🇧	68459055	1075000000000	Monarquía parlamentaria	284.16
831	Guernsey	Guernsey	🇬🇬	67787	0	null	0
832	Jersey	Jersey	🇯🇪	103387	0	null	0
833	Isle of Man	Isla de Man	🇮🇲	92269	0	null	0
834	Tanzania, United Republic of	Tanzania	🇹🇿	67462121	11986000000	República presidencialista	10.98
840	United States	Estados Unidos	🇺🇸	341963408	3052000000000	República presidencialista	4391.02
850	Virgin Islands, U.S.	Islas Vírgenes de los Estados Unidos	🇻🇮	104377	4075000000	null	0.67
854	Burkina Faso	Burkina Faso	🇧🇫	23042199	5814000000	Junta militar	1.73
858	Uruguay	Uruguay	🇺🇾	3425330	21286000000	República presidencialista	17.27
860	Uzbekistan	Uzbekistán	🇺🇿	36520593	24536000000	República semipresidencialista	76.25
862	Venezuela, Bolivarian Republic of	Venezuela	🇻🇪	31250306	83401000000	República presidencialista	82.94
876	Wallis and Futuna	Wallis y Futuna	🇼🇫	15964	0	null	0
882	Samoa	Samoa	🇼🇸	208853	347190000	Monarquía parlamentaria	0.15
887	Yemen	Yemen	🇾🇪	32140443	384500000	Gobierno provisional	3.07
894	Zambia	Zambia	🇿🇲	20799116	12444000000	República presidencialista	19.46
